entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,exit_reason,entry_spread,pnl_points,r_multiple,return_pct,session_hour_utc,session_hour
2026-02-19 05:50:00,2026-02-19 06:45:00,1,4997.015052631579,5011.732429461742,4989.882133147853,5011.732429461742,target,0.8501052631578372,14.71737683016272,2.063303373007419,2.063303373007419,5,5
2026-02-19 06:50:00,2026-02-19 08:08:00,1,5016.105222656251,5006.559427263412,5006.559427263412,5035.801094488334,stop,0.8104453125000077,-9.545795392838954,-1.0,-1.0,6,6
2026-02-19 08:45:00,2026-02-19 09:24:00,1,5020.260978723404,5011.5651685410585,5011.5651685410585,5038.20307320367,stop,0.6819574468085136,-8.695810182345667,-1.0,-1.0,8,8
2026-02-19 09:30:00,2026-02-19 14:10:00,-1,5000.310805841925,4973.30901370176,5013.39748640156,4973.30901370176,target,0.6883883161512305,27.00179214016498,2.0633033730073516,2.0633033730073516,9,9
2026-02-19 14:15:00,2026-02-19 14:44:00,-1,4972.401238636364,4989.836051616728,4989.836051616728,4936.427930206227,stop,0.8245227272727287,-17.43481298036386,-1.0,-1.0,14,14
2026-02-20 03:45:00,2026-02-20 04:40:00,-1,4987.419361111111,5002.522454833911,5002.522454833911,4956.257096890013,stop,0.8312777777778065,-15.103093722799713,-1.0,-1.0,3,3
2026-02-20 04:45:00,2026-02-20 06:01:00,1,4999.316279411765,5014.536946720262,4991.939435314277,5014.536946720262,target,0.8925588235294313,15.220667308496559,2.0633033730073294,2.0633033730073294,4,4
2026-02-20 06:05:00,2026-02-20 09:17:00,1,5015.41183108108,5040.842306257191,5003.086704534592,5040.842306257191,target,0.8836621621621324,25.43047517611103,2.0633033730073747,2.0633033730073747,6,6
2026-02-20 10:00:00,2026-02-20 10:35:00,-1,5027.503727941176,5035.598478777028,5035.598478777028,5010.80180123791,stop,0.8025441176470903,-8.0947508358513,-1.0,-1.0,9,9
2026-02-20 10:40:00,2026-02-20 11:40:00,1,5037.367483870968,5025.146928920313,5025.146928920313,5062.582196120675,stop,0.8279677419354958,-12.220554950654332,-1.0,-1.0,10,10
2026-02-20 11:50:00,2026-02-20 13:48:00,-1,5021.963965053764,5037.821565573469,5037.821565573469,4989.244924413652,stop,0.8420698924731672,-15.857600519705557,-1.0,-1.0,11,11
2026-02-23 05:05:00,2026-02-23 07:24:00,-1,5154.689254658386,5137.500454221183,5163.019973573535,5137.500454221183,target,0.7514906832298801,17.1888004372031,2.063303373007307,2.063303373007307,5,5
2026-02-23 07:30:00,2026-02-23 10:51:00,-1,5136.2272760736205,5158.869299867453,5158.869299867453,5089.509912008092,stop,0.7654478527607252,-22.642023793832777,-1.0,-1.0,7,7
2026-02-23 10:55:00,2026-02-23 13:26:00,1,5160.604507177033,5144.707123985,5144.707123985,5193.405631539145,stop,0.6820143540669691,-15.897383192032976,-1.0,-1.0,10,10
2026-02-23 14:15:00,2026-02-23 14:42:00,1,5157.5114922480625,5184.749216457753,5144.310464921678,5184.749216457753,target,0.712984496124055,27.237724209690896,2.0633033730073844,2.0633033730073844,14,14
2026-02-23 14:45:00,2026-02-23 20:32:00,1,5191.245797113751,5228.238819896081,5173.316769678289,5228.238819896081,target,0.7315942275042577,36.99302278232972,2.063303373007371,2.063303373007371,14,14
2026-02-24 03:45:00,2026-02-24 12:19:00,-1,5179.081507462687,5151.609258332989,5192.3961995671525,5151.609258332989,target,0.8469850746268935,27.472249129697957,2.0633033730073636,2.0633033730073636,3,3
2026-02-24 12:20:00,2026-02-24 13:59:00,-1,5151.013667808219,5113.031418913297,5169.422133277629,5113.031418913297,target,0.7226643835616345,37.98224889492212,2.0633033730073316,2.0633033730073316,12,12
2026-02-24 14:00:00,2026-02-24 15:45:00,-1,5114.702637240356,5155.575809449792,5155.575809449792,5030.368883155116,stop,0.9017255192878364,-40.873172209436234,-1.0,-1.0,13,13
2026-02-24 15:50:00,2026-02-24 16:33:00,1,5153.202625,5138.106351163885,5138.106351163885,5184.350817725898,stop,0.7282500000000054,-15.09627383611496,-1.0,-1.0,15,15
2026-02-24 16:35:00,2026-02-24 16:40:00,-1,5136.779967791411,5149.717292832645,5149.717292832645,5110.086341396139,stop,0.7000644171778848,-12.937325041234544,-1.0,-1.0,16,16
2026-02-24 17:10:00,2026-02-24 23:03:00,1,5153.477438311688,5136.984451682508,5136.984451682508,5187.507473254642,stop,0.6678766233766563,-16.49298662918045,-1.0,-1.0,17,17
2026-02-25 04:10:00,2026-02-25 05:03:00,-1,5174.619217857143,5187.75431961224,5187.75431961224,5147.517518101056,stop,0.8285642857143297,-13.135101755096912,-1.0,-1.0,4,4
2026-02-25 05:05:00,2026-02-25 05:44:00,1,5187.179806306306,5203.756496702287,5179.145752461951,5203.756496702287,target,0.809612612612598,16.57669039598113,2.0633033730074013,2.0633033730074013,5,5
2026-02-25 05:45:00,2026-02-25 06:07:00,1,5203.4172,5189.290714050476,5189.290714050476,5232.5644261083935,stop,0.8544000000000491,-14.126485949524067,-1.0,-1.0,5,5
2026-02-25 06:10:00,2026-02-25 16:24:00,-1,5186.397425110133,5205.678836075209,5205.678836075209,5146.61402482955,stop,0.8851497797356311,-19.281410965076248,-1.0,-1.0,6,6
2026-02-25 16:25:00,2026-02-25 19:10:00,1,5205.652267241379,5191.385746285258,5191.385746285258,5235.088428051224,stop,0.6945344827586033,-14.266520956120985,-1.0,-1.0,16,16
2026-02-26 03:20:00,2026-02-26 07:50:00,1,5190.80011026616,5180.5361808054,5180.5361808054,5211.977710542856,stop,0.9002205323193598,-10.263929460759755,-1.0,-1.0,3,3
2026-02-26 08:30:00,2026-02-26 14:30:00,-1,5176.6912332268375,5144.149962476095,5192.462675844756,5144.149962476095,target,0.7075335463259065,32.541270750742115,2.0633033730073285,2.0633033730073285,8,8
2026-02-26 15:30:00,2026-02-26 15:42:00,-1,5141.363151455027,5172.628467302791,5172.628467302791,5076.853319808195,stop,0.9806970899471058,-31.265315847764214,-1.0,-1.0,15,15
2026-02-26 15:45:00,2026-02-27 14:46:00,1,5176.292573964497,5222.475,5139.338790632867,5252.539439758032,time,0.8251479289940854,46.18242603550334,1.2497347192046333,1.2497347192046333,15,15
2026-02-27 15:15:00,2026-02-27 15:22:00,1,5238.465656179776,5218.198089600064,5218.198089600064,5280.283794666346,stop,0.8213123595505545,-20.267566579711456,-1.0,-1.0,15,15
2026-02-27 16:15:00,2026-02-27 16:24:00,1,5254.292814593302,5230.212476697626,5230.212476697626,5303.977856996607,stop,0.8256291866028476,-24.080337895676166,-1.0,-1.0,16,16
2026-02-27 18:45:00,2026-02-27 21:41:00,1,5240.30889862543,5275.291573793454,5223.354205667682,5275.291573793454,target,0.8277972508591164,34.98267516802389,2.063303373007347,2.063303373007347,18,18
2026-03-02 03:05:00,2026-03-02 07:07:00,1,5353.538326923077,5396.738755288172,5332.600820141353,5396.738755288172,target,0.916653846153863,43.20042836509492,2.0633033730073627,2.0633033730073627,3,3
2026-03-02 07:10:00,2026-03-02 10:05:00,1,5401.373493569131,5383.024815772992,5383.024815772992,5439.232382356129,stop,0.8799871382636874,-18.348677796138873,-1.0,-1.0,7,7
2026-03-02 10:45:00,2026-03-02 10:54:00,1,5400.978602702702,5385.08531144268,5385.08531144268,5433.771284167694,stop,0.727205405405368,-15.893291260022124,-1.0,-1.0,10,10
2026-03-02 11:50:00,2026-03-02 13:03:00,-1,5380.96000212766,5399.754245853878,5399.754245853878,5342.181775654232,stop,0.7469957446808776,-18.794243726218156,-1.0,-1.0,11,11
2026-03-02 13:05:00,2026-03-02 13:13:00,1,5401.863305309735,5382.980403056612,5382.980403056612,5440.824461220771,stop,0.7566106194690131,-18.882902253122666,-1.0,-1.0,13,13
2026-03-02 13:15:00,2026-03-02 13:31:00,-1,5383.886330275229,5413.205250463126,5413.205250463126,5323.392503358608,stop,0.7703394495412628,-29.318920187896765,-1.0,-1.0,13,13
2026-03-03 03:05:00,2026-03-03 05:00:00,1,5369.487796875,5355.432010417442,5355.432010417442,5398.48914848315,stop,0.8385937500000059,-14.055786457557588,-1.0,-1.0,3,3
2026-03-03 05:35:00,2026-03-03 05:56:00,-1,5347.9659752475245,5307.829380437412,5367.418565368391,5307.829380437412,target,0.8880495049504972,40.13659481011291,2.063303373007355,2.063303373007355,5,5
2026-03-03 06:15:00,2026-03-03 08:05:00,-1,5289.1710026132405,5334.814458229201,5334.814458229201,5194.994706685118,stop,1.1479947735192026,-45.64345561596019,-1.0,-1.0,6,6
2026-03-03 08:30:00,2026-03-03 09:25:00,-1,5311.9847578125,5262.015471206145,5336.202857419211,5262.015471206145,target,0.7474843750000204,49.969286606355126,2.0633033730073733,2.0633033730073733,8,8
2026-03-03 09:30:00,2026-03-03 11:29:00,-1,5242.051016025641,5138.2906247164865,5292.339496462679,5138.2906247164865,target,1.4579679487179544,103.76039130915433,2.0633033730073507,2.0633033730073507,9,9
2026-03-03 11:30:00,2026-03-04 10:31:00,-1,5125.183892434989,5186.74,5250.459982256617,4866.70131374885,time,2.4052151300236373,-61.55610756501119,-0.4913635766622067,-0.49136357666220676,11,11
2026-03-04 11:15:00,2026-03-04 12:17:00,1,5195.745551401869,5183.695493618338,5183.695493618338,5220.608476271563,stop,0.7011028037383605,-12.050057783530974,-1.0,-1.0,11,11
2026-03-04 12:20:00,2026-03-04 14:56:00,-1,5183.004589347079,5139.99131186815,5203.851391635893,5139.99131186815,target,0.6708213058419582,43.01327747892901,2.063303373007373,2.063303373007373,12,12
2026-03-04 15:15:00,2026-03-05 00:18:00,-1,5134.151726628895,5176.57596840003,5176.57596840003,5046.617645485231,stop,0.8865467422096408,-42.42424177113571,-1.0,-1.0,15,15
2026-03-05 03:05:00,2026-03-05 04:02:00,1,5193.1549545454545,5176.781088603704,5176.781088603704,5226.939207372238,stop,0.739909090909097,-16.37386594175041,-1.0,-1.0,3,3
2026-03-05 04:45:00,2026-03-05 05:58:00,-1,5174.234315,5154.136936504861,5183.974704492915,5154.136936504861,target,0.751369999999979,20.0973784951384,2.0633033730073564,2.0633033730073564,4,4
2026-03-05 06:00:00,2026-03-05 06:59:00,-1,5148.704058743169,5168.065717041571,5168.065717041571,5108.755083869062,stop,0.7518825136611955,-19.36165829840138,-1.0,-1.0,5,5
2026-03-05 07:00:00,2026-03-05 08:12:00,1,5168.090001872659,5146.241358229834,5146.241358229834,5213.170381996535,stop,0.6700037453183371,-21.848643642824754,-1.0,-1.0,6,6
2026-03-05 08:15:00,2026-03-05 08:36:00,-1,5141.383954391892,5157.80715084733,5157.80715084733,5107.4979177498235,stop,0.8220912162161914,-16.4231964554383,-1.0,-1.0,8,8
2026-03-05 08:50:00,2026-03-05 10:04:00,1,5168.84214423077,5151.3264019284115,5151.3264019284115,5204.982434403953,stop,0.8142884615384353,-17.515742302358376,-1.0,-1.0,8,8
2026-03-06 03:20:00,2026-03-06 05:00:00,1,5139.194225146199,5125.577184732037,5125.577184732037,5167.290310563117,stop,0.7884502923976757,-13.617040414162147,-1.0,-1.0,3,3
2026-03-06 05:10:00,2026-03-06 08:31:00,-1,5122.635048387097,5098.0723154150155,5134.539615254684,5098.0723154150155,target,0.7499032258064319,24.562732972081903,2.06330337300732,2.06330337300732,5,5
2026-03-06 09:15:00,2026-03-06 11:56:00,-1,5095.522066079296,5066.486473832828,5109.594447594452,5066.486473832828,target,0.8228678414096764,29.035592246467786,2.063303373007368,2.063303373007368,9,9
2026-03-06 12:00:00,2026-03-06 13:30:00,-1,5076.71211123348,5098.826730457015,5098.826730457015,5031.082942796786,stop,0.942777533039655,-22.114619223535556,-1.0,-1.0,11,11
2026-03-06 13:35:00,2026-03-06 13:56:00,1,5124.639334580838,5090.473748255548,5090.473748255548,5195.133304086583,stop,1.0316691616766205,-34.16558632528995,-1.0,-1.0,13,13
2026-03-06 15:00:00,2026-03-08 22:00:00,1,5130.649822115384,5191.8565,5089.707087061762,5215.12710545167,time,0.8366442307692435,61.2066778846156,1.494933785064761,1.494933785064761,14,14
2026-03-09 05:35:00,2026-03-09 11:20:00,1,5106.772365577889,5081.201427782453,5081.201427782453,5159.532967782174,stop,0.7147311557788824,-25.570937795436294,-1.0,-1.0,5,5
2026-03-09 12:05:00,2026-03-09 13:42:00,1,5097.828427027027,5079.810741064661,5079.810741064661,5135.004379246964,stop,0.8268540540540779,-18.01768596236616,-1.0,-1.0,12,12
2026-03-09 13:45:00,2026-03-09 14:44:00,-1,5075.208725203252,5109.080829071536,5109.080829071536,5005.320299040965,stop,0.8225495934959297,-33.872103868284285,-1.0,-1.0,13,13
2026-03-09 14:45:00,2026-03-09 14:56:00,1,5112.959114139693,5086.279717428406,5086.279717428406,5168.006803363894,stop,0.8282282793867246,-26.679396711287154,-1.0,-1.0,14,14
2026-03-09 16:05:00,2026-03-09 17:21:00,1,5107.002576456311,5092.882910393472,5092.882910393472,5136.135731069503,stop,0.8151529126213434,-14.119666062838405,-1.0,-1.0,16,16
2026-03-09 17:25:00,2026-03-09 18:23:00,-1,5093.29554587156,5105.2887712660495,5105.2887712660495,5068.549883461871,stop,0.8189082568807656,-11.993225394489855,-1.0,-1.0,17,17
2026-03-10 03:50:00,2026-03-10 05:03:00,-1,5158.578732608695,5170.79928755935,5170.79928755935,5133.364020358986,stop,0.7295347826086982,-12.220554950655242,-1.0,-1.0,3,3
2026-03-10 05:05:00,2026-03-10 07:22:00,1,5169.030831460674,5161.825166518975,5161.825166518975,5183.898304239642,stop,0.7416629213483431,-7.2056649416990695,-1.0,-1.0,5,5
2026-03-10 07:25:00,2026-03-10 07:43:00,-1,5159.414304123712,5177.481093270209,5177.481093270209,5122.137037138332,stop,0.6043917525773451,-18.066789146497285,-1.0,-1.0,7,7
2026-03-10 08:00:00,2026-03-10 10:31:00,1,5181.484343478261,5170.934660765405,5170.934660765405,5203.251539403853,stop,0.6686869565217447,-10.549682712855429,-1.0,-1.0,7,7
2026-03-10 10:35:00,2026-03-10 11:05:00,-1,5169.711119047619,5185.799231737273,5185.799231737273,5136.516461869734,stop,0.6277619047619188,-16.088112689653826,-1.0,-1.0,10,10
2026-03-10 11:10:00,2026-03-10 11:41:00,1,5190.98213362069,5176.224808152813,5176.224808152813,5221.430973035126,stop,0.6342672413793088,-14.757325467876399,-1.0,-1.0,11,11
2026-03-11 03:30:00,2026-03-11 08:26:00,-1,5204.255781250001,5183.2611104109155,5214.431052183855,5183.2611104109155,target,0.7084375000000149,20.994670839085302,2.0633033730073502,2.0633033730073502,3,3
2026-03-11 09:35:00,2026-03-11 10:35:00,1,5194.414381081081,5183.007665941492,5183.007665941492,5217.94989490353,stop,0.6287621621621273,-11.406715139589323,-1.0,-1.0,9,9
2026-03-11 10:45:00,2026-03-11 11:03:00,-1,5179.183588516747,5191.9686027553535,5191.9686027553535,5152.804225514282,stop,0.7728229665071878,-12.785014238606891,-1.0,-1.0,10,10
2026-03-11 12:15:00,2026-03-11 12:36:00,1,5191.915,5176.9762655463055,5176.9762655463055,5222.738141186769,stop,0.78300000000001,-14.938734453694451,-1.0,-1.0,12,12
2026-03-11 13:00:00,2026-03-11 14:05:00,-1,5167.288873502994,5188.450299897538,5188.450299897538,5123.626431045484,stop,0.7422529940119826,-21.161426394543923,-1.0,-1.0,12,12
2026-03-11 14:15:00,2026-03-11 17:36:00,1,5190.461439054726,5162.226198861059,5162.226198861059,5248.719305383992,stop,0.782878109452749,-28.23524019366687,-1.0,-1.0,14,14
2026-03-12 04:35:00,2026-03-12 05:42:00,-1,5148.02131736527,5154.6823006904015,5154.6823006904015,5134.2776880029805,stop,0.6943652694610659,-6.660983325131383,-1.0,-1.0,4,4
2026-03-12 05:45:00,2026-03-12 07:45:00,1,5153.912528662421,5184.10855021309,5139.277733825316,5184.10855021309,target,0.705057324840738,30.196021550668775,2.0633033730073294,2.0633033730073294,5,5
2026-03-12 09:35:00,2026-03-12 11:19:00,1,5184.684185082874,5174.669408815669,5174.669408815669,5205.347706734912,stop,0.6283701657458747,-10.01477626720498,-1.0,-1.0,9,9
2026-03-12 11:20:00,2026-03-12 11:45:00,-1,5174.059970000001,5181.645957289161,5181.645957289161,5158.407776838687,stop,0.6200600000000032,-7.585987289159675,-1.0,-1.0,11,11
2026-03-12 12:10:00,2026-03-12 12:49:00,-1,5169.226891752577,5180.638835471958,5180.638835471958,5145.680589783808,stop,0.6092164948453457,-11.41194371938127,-1.0,-1.0,12,12
2026-03-12 12:50:00,2026-03-12 13:22:00,1,5181.957253246753,5168.526623068644,5168.526623068644,5209.66871779486,stop,0.6345064935064892,-13.430630178108913,-1.0,-1.0,12,12
2026-03-13 04:25:00,2026-03-13 07:17:00,-1,5104.596809090909,5083.50176158606,5114.820728549783,5083.50176158606,target,0.6993818181818328,21.09504750484939,2.0633033730073205,2.0633033730073205,4,4
2026-03-13 07:20:00,2026-03-13 09:04:00,-1,5078.031082969433,5094.068501168063,5094.068501168063,5044.941023905868,stop,0.6378340611353567,-16.037418198630803,-1.0,-1.0,7,7
2026-03-13 09:05:00,2026-03-13 14:40:00,1,5094.286803493449,5077.862243060673,5077.862243060673,5128.175654434559,stop,0.6336069868995773,-16.42456043277616,-1.0,-1.0,9,9
2026-03-13 14:45:00,2026-03-13 14:56:00,-1,5079.2473671875,5045.250634783188,5095.724213418192,5045.250634783188,target,0.6652656250000426,33.99673240431184,2.0633033730073342,2.0633033730073342,14,14
2026-03-13 15:00:00,2026-03-15 22:00:00,-1,5041.485313195548,5013.780000000001,5074.348983152694,4973.677592123568,time,0.6863736089030226,27.705313195547205,0.8430377140372518,0.8430377140372518,14,14
2026-03-16 03:30:00,2026-03-16 07:28:00,1,5011.635042763159,4998.724997268663,4998.724997268663,5038.272383177629,stop,0.7100855263157655,-12.910045494495535,-1.0,-1.0,3,3
2026-03-16 08:15:00,2026-03-16 11:11:00,-1,4988.579440379403,5004.64254681788,5004.64254681788,4955.436378683918,stop,0.6911192411924147,-16.063106438477007,-1.0,-1.0,8,8
2026-03-16 11:15:00,2026-03-16 13:16:00,1,5003.251346428572,5029.595061643193,4990.483609236235,5029.595061643193,target,0.6226928571428678,26.343715214620715,2.0633033730073262,2.0633033730073262,11,11
2026-03-16 13:20:00,2026-03-16 14:30:00,1,5027.04258531746,5012.788340157373,5012.788340157373,5056.453417435942,stop,0.6251706349206083,-14.254245160087521,-1.0,-1.0,13,13
2026-03-16 14:35:00,2026-03-17 02:02:00,-1,5010.557303652968,5028.578399558675,5028.578399558675,4973.3743156854325,stop,0.608392694063951,-18.021095905707625,-1.0,-1.0,14,14
2026-03-17 03:25:00,2026-03-17 05:54:00,1,5031.052925,5022.683332730747,5022.683332730747,5048.321932959846,stop,0.7388500000000476,-8.36959226925319,-1.0,-1.0,3,3
2026-03-17 05:55:00,2026-03-17 10:09:00,-1,5026.462235632183,5002.290221176832,5038.177436979487,5002.290221176832,target,0.7155287356322002,24.172014455351018,2.063303373007345,2.063303373007345,5,5
2026-03-17 10:10:00,2026-03-17 12:20:00,-1,5001.4544162162165,5013.9166224850715,5013.9166224850715,4975.741103986575,stop,0.6311675675675803,-12.46220626885497,-1.0,-1.0,10,10
2026-03-17 12:25:00,2026-03-17 14:31:00,1,5016.368147727273,5004.759109282698,5004.759109282698,5040.321115907337,stop,0.6262954545454015,-11.609038444575162,-1.0,-1.0,12,12
2026-03-17 15:30:00,2026-03-18 01:10:00,-1,4994.483784172661,5014.985954854332,5014.985954854332,4952.181586251198,stop,0.6324316546762397,-20.502170681670577,-1.0,-1.0,15,15
2026-03-18 03:05:00,2026-03-18 05:37:00,-1,4989.419120786517,5000.7387687060955,5000.7387687060955,4966.063253052795,stop,0.7017584269663152,-11.319647919578529,-1.0,-1.0,3,3
2026-03-18 05:40:00,2026-03-18 08:21:00,1,4997.670066964285,4984.138729792796,4984.138729792796,5025.589320591519,stop,0.7001339285714526,-13.531337171489213,-1.0,-1.0,5,5
2026-03-18 08:25:00,2026-03-18 11:04:00,-1,4984.460264822134,4958.099663813269,4997.236185878495,4958.099663813269,target,2.3794703557312085,26.36060100886516,2.063303373007364,2.063303373007364,8,8
2026-03-18 11:05:00,2026-03-18 12:07:00,-1,4958.299158461539,4918.159280302545,4977.753339889299,4918.159280302545,target,0.6646830769230572,40.13987815899418,2.063303373007354,2.063303373007354,11,11
2026-03-18 12:10:00,2026-03-18 13:11:00,-1,4913.137546719681,4853.379189952206,4942.100014163514,4853.379189952206,target,0.7579065606361917,59.75835676747556,2.063303373007343,2.063303373007343,12,12
2026-03-18 14:10:00,2026-03-18 14:22:00,1,4893.647696483181,4865.45951350764,4865.45951350764,4951.808469495563,stop,0.7553929663608814,-28.188182975541167,-1.0,-1.0,14,14
2026-03-19 03:10:00,2026-03-19 04:47:00,1,4864.032099999999,4846.986929878899,4846.986929878899,4899.20145700435,stop,0.6641999999999826,-17.045170121100455,-1.0,-1.0,3,3
2026-03-19 04:50:00,2026-03-19 05:05:00,-1,4846.1762,4853.845844565826,4853.845844565826,4830.351396497563,stop,0.647599999999986,-7.669644565826275,-1.0,-1.0,4,4
2026-03-19 05:35:00,2026-03-19 06:23:00,-1,4840.763497716895,4817.672174092938,4851.954931766799,4817.672174092938,target,0.6800045662100096,23.09132362395667,2.0633033730073387,2.0633033730073387,5,5
